BurstID,Candidate name,Heimdall DM (pc cm^-3),Time width (ms),Frequency width (MHz),Center frequency (GHz),S/N,Fluence (Jy),FETCH models,drift,drift err
B0,./cand_tstart_59867.901782407411_tcand_17.0225000_dm_222.94100_snr_22.90580.h5,222.941,5.632,140,1.462,26.8,3.061,"[0.79570055, 0.9999819, 0.037148826, 0.07995536, 0.001918129, 0.9995704, 0.5488920999999999, 0.99982786]",,
B1,./cand_tstart_59867.901782407411_tcand_17.115204000000002_dm_222.94100_snr_22.90580.h5,222.941,9.12,132,1.322,16.065,2.902,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B2,./cand_tstart_59867.901782407411_tcand_44.2316000_dm_226.95700_snr_12.87630.h5,226.957,5.888,120,1.286,22.1,4.022,"[0.99989235, 0.99999774, 0.99999774, 0.9998708000000001, 0.9999956, 0.9999993, 0.9279473, 0.9998324000000001]",,
B3,./cand_tstart_59867.904560185190_tcand_13.6797000_dm_218.94300_snr_24.42640.h5,218.943,6.656,216,1.538,24.132,2.834,"[0.9999969999999999, 1.0, 1.0, 0.99972457, 1.0, 1.0, 0.9990376, 1.0]",,
B4,./cand_tstart_59867.904560185190_tcand_13.706532000000001_dm_218.94300_snr_24.42640.h5,218.943,8.32,200,1.398,23.21,2.832,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B5,./cand_tstart_59867.904560185190_tcand_53.4441000_dm_226.95700_snr_12.04190.h5,226.957,5.376,348,1.414,14.059,1.181,"[0.9999981, 0.9999299999999999, 0.99999976, 0.99988246, 1.0, 0.9999908000000002, 0.83566386, 1.0]",,
B6,./cand_tstart_59867.905949074076_tcand_100.4810000_dm_229.07400_snr_13.44690.h5,229.074,10.496,368,1.502,14.122,1.568,"[0.99004704, 0.99999714, 0.023503954, 0.34678066, 0.01153376, 0.99999726, 0.98645395, 0.9999913]",,
B7,./cand_tstart_59867.905949074076_tcand_31.9522000_dm_229.01600_snr_12.21110.h5,229.016,7.168,144,1.31,21.666,3.394,"[0.87590116, 0.9998870999999999, 0.18306269, 0.67194515, 0.029931085, 0.9957119000000001, 0.07466626, 0.9999950999999999]",,
B8,./cand_tstart_59867.905949074076_tcand_47.5358000_dm_229.01600_snr_10.46940.h5,229.016,7.936,256,1.374,11.903,1.318,"[0.91319466, 0.98902726, 0.06393707, 0.12497864, 0.069795944, 0.99786466, 0.022312457, 0.96889573]",,
B9,./cand_tstart_59867.905949074076_tcand_71.5370000_dm_214.98500_snr_23.54310.h5,214.985,20.992,472,1.474,25.555,3.564,"[0.004018423, 0.9016716, 0.00077499, 0.022855494, 0.00075843, 0.43143386, 0.23141032, 4.42e-08]",,
B10,./cand_tstart_59867.907337962970_tcand_10.9657000_dm_220.89000_snr_81.61040.h5,220.89,14.848,184,1.39,104.333,13.584,"[0.01731041, 0.99770916, 0.003901963, 0.10809268, 0.033312354, 0.16724661, 0.28213528, 1.42e-08]",,
B11,./cand_tstart_59867.907337962970_tcand_68.3692000_dm_226.95700_snr_26.64460.h5,226.957,12.8,424,1.51,30.537,3.428,"[0.014178316000000002, 0.8582885, 0.002313914, 0.002136425, 0.000198414, 0.020868387, 0.08169355, 1.4000000000000001e-09]",,
B12,./cand_tstart_59867.907337962970_tcand_78.6725000_dm_226.95700_snr_23.14530.h5,226.957,7.168,288,1.442,26.58,2.717,"[0.8926086999999999, 1.0, 0.98569345, 0.84317786, 0.18814132, 1.0, 0.90638906, 0.7690979]",,
B13,./cand_tstart_59867.908726851856_tcand_13.6039000_dm_222.89400_snr_36.12060.h5,222.894,7.936,168,1.33,50.799,7.099,"[0.6855011999999999, 0.999984, 0.9994349, 0.8620904, 0.621999, 0.9999913, 0.83622783, 0.9868334000000001]",,
B14,./cand_tstart_59867.910936819258_tcand_34.4805000_dm_216.93600_snr_22.19620.h5,216.936,6.4,208,1.35,34.202,3.888,"[0.56210935, 0.99979085, 0.057456836, 0.4274393, 0.46550232, 0.9998504, 0.91534734, 0.99810046]",,
B15,./cand_tstart_59867.912325708152_tcand_113.1900000_dm_222.89400_snr_10.14370.h5,222.894,10.24,288,1.37,12.82,1.567,"[0.9193534, 0.9974765, 0.013040923999999999, 0.002340165, 0.013369721000000001, 0.94403416, 0.01379739, 0.77110076]",,
B16,./cand_tstart_59867.912325708152_tcand_26.0330000_dm_231.09300_snr_9.62526.h5,231.093,8.448,224,1.338,13.831,1.83,"[0.9533753, 0.99916446, 0.030218542999999997, 0.09643422, 0.026247757000000004, 0.9911993, 0.8268143, 0.9309216]",,
B17,./cand_tstart_59867.913714597038_tcand_40.3141000_dm_233.19000_snr_16.49220.h5,233.19,10.496,188,1.618,19.324,3.381,"[0.8510964, 0.9999998999999999, 0.95919144, 0.012232433999999999, 0.005079247, 0.99999726, 0.98669726, 0.9998259]",,
B18,./cand_tstart_59867.913714597038_tcand_47.0272000_dm_235.30500_snr_9.44749.h5,235.305,11.008,132,1.306,16.779,3.409,"[0.00011943, 0.002861093, 1.5399999999999998e-05, 0.000636058, 0.000730365, 0.0002144, 0.000266269, 4.970000000000001e-07]",,
B19,./cand_tstart_59867.915103485931_tcand_25.3620000_dm_222.94100_snr_16.18670.h5,222.941,3.328,196,1.482,22.399,1.86,"[1.0, 0.9999998999999999, 1.0, 0.99960774, 1.0, 0.99999976, 0.85559636, 1.0]",,
B20,./cand_tstart_59869.877662037034_tcand_38.5395000_dm_224.91600_snr_21.86810.h5,224.916,15.104,392,1.466,17.178,2.239,"[0.002916475, 0.89394116, 0.00023569, 0.13024594, 0.003461949, 0.19697699, 0.009474563, 3.24e-09]",,
B21,./cand_tstart_59869.877662037034_tcand_61.5764000_dm_224.91600_snr_12.98710.h5,224.916,7.68,240,1.366,16.401,1.923,"[0.9999998999999999, 0.87767446, 1.0, 0.99975914, 1.0, 0.9403266, 0.9645870999999999, 1.0]",,
B22,./cand_tstart_59869.880439814813_tcand_63.3365000_dm_224.91600_snr_18.48110.h5,224.916,5.632,300,1.458,18.154,1.587,"[1.0, 1.0, 1.0, 0.9999882999999999, 1.0, 1.0, 0.999926, 1.0]",,
B23,./cand_tstart_59869.881828703699_tcand_38.4049000_dm_203.64500_snr_7.19343.h5,203.645,11.264,232,1.466,9.603,1.363,"[0.7204473000000001, 0.9999809000000001, 0.001063198, 0.077673815, 0.0007500769999999999, 0.99997747, 0.67490697, 4.82e-08]",,
B24,./cand_tstart_59869.881828703699_tcand_38.421364_dm_203.64500_snr_7.19343.h5,203.645,13.76,112,1.326,8.095,2.044,"[nan, nan, nan, nan, nan, nan, nan, nan]",,
B25,./cand_tstart_59869.881828703699_tcand_46.7305000_dm_226.95700_snr_20.12170.h5,226.957,10.496,328,1.498,22.815,2.634,"[0.9970457, 1.0, 0.06499424, 0.5444479, 0.006995976, 1.0, 0.99908173, 0.9996123]",,
B26,./cand_tstart_59869.883217592593_tcand_44.2542000_dm_218.90400_snr_9.66431.h5,218.904,2.304,260,1.358,10.246,0.666,"[0.9998011, 0.957781, 0.99976796, 0.99941945, 0.9999998999999999, 0.99999857, 0.9999068000000001, 1.0]",,
B27,./cand_tstart_59870.867743055554_tcand_61.1222000_dm_229.07400_snr_8.59024.h5,229.074,7.168,224,1.338,10.789,1.282,"[6.11e-06, 2.03e-06, 0.000222996, 0.00156923, 1.4599999999999999e-05, 6.75e-09, 7.709999999999999e-07, 7.13e-06]",,
B28,./cand_tstart_59870.867743055554_tcand_67.9014000_dm_237.44000_snr_7.06791.h5,237.44,8.704,304,1.586,9.362,1.018,"[0.17934512, 2.35e-05, 0.00012505, 0.00020841900000000003, 0.026790707999999996, 0.5327387, 1.4099999999999999e-05, 0.36144522]",,
B29,./cand_tstart_59870.869131944448_tcand_4.2448300_dm_229.01600_snr_15.40830.h5,229.016,9.728,352,1.506,15.219,1.64,"[0.97862566, 0.9999988999999999, 0.01729884, 0.2829558, 0.000461947, 0.999742, 0.97478545, 0.99996185]",,
B30,./cand_tstart_59870.869131944448_tcand_51.3134000_dm_218.94300_snr_18.44150.h5,218.943,5.744,132,1.362,21.681,2.806,"[0.85265595, 0.9997788000000001, 0.01041947, 0.17991765, 0.047445275, 0.9713175, 0.86989033, 0.96617746]",,
B31,./cand_tstart_59870.871909722227_tcand_104.5060000_dm_237.44000_snr_7.62741.h5,237.44,6.144,124,1.394,7.845,1.07,"[0.00141438, 8.58e-05, 5.59e-08, 0.000108904, 2.95e-06, 2.2399999999999998e-17, 1.66e-08, 1.6300000000000002e-07]",,
B32,./cand_tstart_59870.875508388890_tcand_107.6380000_dm_231.09300_snr_9.91606.h5,231.093,15.872,148,1.314,16.904,3.779,"[0.00215127, 0.000464467, 4.07e-05, 0.00016750400000000001, 0.00048123, 1.24e-05, 2.2899999999999998e-05, 8.86e-08]",,
B33,./cand_tstart_59870.875508388890_tcand_56.6039000_dm_229.01600_snr_11.04610.h5,229.016,11.264,300,1.498,13.045,1.599,"[0.20306587, 0.98968947, 0.021018912999999997, 0.000863778, 0.0026572109999999996, 0.9436184000000001, 0.0921054, 0.10983093]",,
B34,./cand_tstart_59870.876897277783_tcand_110.4600000_dm_237.44000_snr_9.49991.h5,237.44,10.752,232,1.342,10.074,1.338,"[0.015414721000000001, 3.02e-05, 1.2e-05, 1.28e-06, 9.22e-07, 9.470000000000001e-09, 1.01e-08, 1.46e-08]",,
B35,./cand_tstart_59870.876897277783_tcand_30.1999000_dm_231.15600_snr_22.08640.h5,231.156,6.144,416,1.53,20.824,1.599,"[0.5783505, 0.9896290999999999, 0.31746992, 0.020994767999999997, 0.0017976939999999999, 0.022378167, 0.6464538000000001, 0.9990225]",,
B36,./cand_tstart_59870.876897277783_tcand_80.0383000_dm_229.07400_snr_7.65050.h5,229.074,3.584,512,1.482,12.607,0.67,"[0.99995613, 0.99978775, 0.9999988999999999, 0.9985280000000001, 0.9999994000000001, 0.9999931000000001, 0.965198, 1.0]",,
B37,./cand_tstart_59870.881063944449_tcand_47.5347000_dm_224.91600_snr_8.09867.h5,224.916,4.352,256,1.61,9.778,0.835,"[0.9998965, 0.99967146, 0.9998745000000001, 0.9999825999999999, 0.9999993, 1.0, 0.7107803, 1.0]",,
B38,./cand_tstart_59870.881884833332_tcand_69.7508000_dm_224.96700_snr_50.41810.h5,224.967,8.368,380,1.426,142.423,16.616,"[0.45116755, 1.0, 1.0, 0.988367, 0.62368935, 1.0, 0.9995834000000001, 0.9999998999999999]",,
B39,./cand_tstart_59870.883273722218_tcand_18.9847000_dm_229.01600_snr_9.49279.h5,229.016,6.912,228,1.598,9.421,1.127,"[0.99992204, 0.9272383, 0.99991953, 0.9999720999999999, 0.9999998999999999, 0.99845004, 0.07120881, 1.0]",,
B40,./cand_tstart_59870.884662611112_tcand_33.2727000_dm_216.93600_snr_15.41050.h5,216.936,8.704,68,1.274,36.47,8.716,"[0.6154538, 0.6855852, 0.015307073999999999, 0.005288779, 0.008188006999999999, 0.036434114, 0.0034338959999999997, 6.559999999999999e-08]",,
B41,./cand_tstart_59870.886051499998_tcand_105.6800000_dm_222.94100_snr_15.57930.h5,222.941,3.072,188,1.514,21.039,1.801,"[1.0, 0.99980766, 1.0, 0.9981148000000001, 1.0, 0.9986173, 0.88108754, 1.0]",,
B42,./cand_tstart_59870.886051499998_tcand_36.9639000_dm_231.09300_snr_8.90553.h5,231.093,4.608,320,1.454,8.825,0.681,"[0.08960227, 0.0010397569999999999, 0.000148286, 8.379999999999999e-05, 1.6e-07, 2.26e-10, 9.57e-09, 3.9899999999999994e-05]",,
B43,./cand_tstart_59870.887440388891_tcand_1.5257600_dm_224.96700_snr_10.87130.h5,224.967,5.12,236,1.418,13.095,1.176,"[0.9904655000000001, 0.9999993, 0.9999925, 0.9999601999999999, 0.9999988000000001, 0.99999785, 0.649945, 1.0]",,
B44,./cand_tstart_59870.888829277777_tcand_59.0540000_dm_211.13700_snr_8.96209.h5,211.137,16.64,172,1.334,13.708,2.818,"[0.000485882, 0.006073381, 7.18e-06, 4.44e-06, 2.4100000000000003e-05, 2.8600000000000005e-09, 5.88e-08, 5.47e-08]",,
